11.04.2023                                                                                                     Saída dinâmica de lista                                                                                                             1


		 Val/MoeACC	MdACC	Def.proj.	Material	  Qtd.entr.	Texto breve material	     Valor/MT	Elemento PEP	Data doc.	Usuário	Nº doc.	Itm	 Valor/MObj	Denominação	Entrado em	Nº doc.ref
		-999,17	BRL	B-0265746	2206000	-25,600	CABO NU ACO-COBRE  2 AWG	-999,17	B-0265746-SUPR	07.07.2021	ECM390578	1073947770		-999,17	DM para projeto	07.07.2021	4900473357
		-0,05	BRL	B-0265746	2206000		CABO NU ACO-COBRE  2 AWG	-0,05	B-0265746-SUPR	12.05.2022	CLB140490	1080173582		-0,05	Doctos Razão - Material	12.05.2022	100761979
		    683,93	BRL	B-0265746	2206000	    10,000	CABO NU ACO-COBRE  2 AWG	      683,93	B-0265746-SUPR	14.03.2023	STC128502	1087657196		    683,93	SM para projeto	14.03.2023	4900217199
		  1.066,13	BRL	B-0265746	2206000	    15,600	CABO NU ACO-COBRE  2 AWG	    1.066,13	B-0265746-SUPR	03.04.2023	STC005659	1088337891		  1.066,13	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2206000	    25,600	CABO NU ACO-COBRE  2 AWG	    1.750,06
		     14,21	BRL	B-0265746	2221001	    17,500	FIO  COBRE 750 V 2,50 MM2 PT	       14,21	B-0265746-SUPR	21.07.2020	AMA418508	1068283764		     14,21	SM para projeto	21.07.2020	4900470692
		-14,18	BRL	B-0265746	2221001	-17,500	FIO  COBRE 750 V 2,50 MM2 PT	-14,18	B-0265746-SUPR	07.07.2021	ECM390578	1073947769		-14,18	DM para projeto	07.07.2021	4900473356
		-0,03	BRL	B-0265746	2221001		FIO  COBRE 750 V 2,50 MM2 PT	-0,03	B-0265746-SUPR	12.05.2022	CLB140490	1080173576		-0,03	Doctos Razão - Material	12.05.2022	100761973
		     32,83	BRL	B-0265746	2221001	    17,500	FIO  COBRE 750 V 2,50 MM2 PT	       32,83	B-0265746-SUPR	03.04.2023	STC005659	1088337891		     32,83	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2221001	    17,500	FIO  COBRE 750 V 2,50 MM2 PT	       32,83
		     20,99	BRL	B-0265746	2223410	     6,000	CABO ISOL COBRE XLPE PT 10,00MM2	       20,99	B-0265746-SUPR	10.08.2020	AMA418508	1068664836		     20,99	SM para projeto	10.08.2020	4900524870
		      0,01	BRL	B-0265746	2223410		CABO ISOL COBRE XLPE PT 10,00MM2	        0,01	B-0265746-SUPR	28.02.2023	CLB340051	1087377489		      0,01	Transfer.Contábeis - Material	28.02.2023	500010421
		-21,00	BRL	B-0265746	2223410	-6,000	CABO ISOL COBRE XLPE PT 10,00MM2	-21,00	B-0265746-SUPR	01.11.2022	EES293593	1084609032		-21,00	DM para projeto	01.11.2022	4900906673
	*			B-0265746	2223410	     0,000	CABO ISOL COBRE XLPE PT 10,00MM2	        0,00
		    306,56	BRL	B-0265746	2223464	    14,000	CABO COBRE XLPE 35MM2 1F PRETO	      306,56	B-0265746-SUPR	03.04.2023	STC005659	1088337891		    306,56	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2223464	    14,000	CABO COBRE XLPE 35MM2 1F PRETO	      306,56
		    721,32	BRL	B-0265746	2230050	   230,000	CABO AS AL 1KV 1X25 RC + 1X25 N ISO	      721,32	B-0265746-SUPR	29.06.2020	AMA418508	1068033176		    721,32	SM para projeto	29.06.2020	4900418031
		      0,88	BRL	B-0265746	2230050		CABO AS AL 1KV 1X25 RC + 1X25 N ISO	        0,88	B-0265746-SUPR	12.05.2022	CLB140490	1080173542		      0,88	Doctos Razão - Material	12.05.2022	100761939
		-722,20	BRL	B-0265746	2230050	-230,000	CABO AS AL 1KV 1X25 RC + 1X25 N ISO	-722,20	B-0265746-SUPR	22.10.2021	EES293593	1075770884		-722,20	RESERVA DEVOLUÇÃO	22.10.2021	4900785584
		  1.152,09	BRL	B-0265746	2230050	   230,000	CABO AS AL 1KV 1X25 RC + 1X25 N ISO	    1.152,09	B-0265746-SUPR	03.04.2023	STC005659	1088337891		  1.152,09	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2230050	   230,000	CABO AS AL 1KV 1X25 RC + 1X25 N ISO	    1.152,09
		  6.470,72	BRL	B-0265746	2230076	   776,000	CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO	    6.470,72	B-0265746-SUPR	29.06.2020	AMA418508	1068033176		  6.470,72	SM para projeto	29.06.2020	4900418031
		-6.471,84	BRL	B-0265746	2230076	-776,000	CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO	-6.471,84	B-0265746-SUPR	07.07.2021	ECM390578	1073947769		-6.471,84	DM para projeto	07.07.2021	4900473356
		      1,12	BRL	B-0265746	2230076		CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO	        1,12	B-0265746-SUPR	12.05.2022	CLB140490	1080173540		      1,12	Doctos Razão - Material	12.05.2022	100761937
	*			B-0265746	2230076	     0,000	CABO MLP ALUM XLPE 3X1X35/35MM2 N ISO	        0,00
		     85,40	BRL	B-0265746	2278000	     2,800	FITA MET POSTE LISA   10X  1,00MM	       85,40	B-0265746-SUPR	21.07.2020	AMA418508	1068283764		     85,40	SM para projeto	21.07.2020	4900470692
		-85,40	BRL	B-0265746	2278000	-2,800	FITA MET POSTE LISA   10X  1,00MM	-85,40	B-0265746-SUPR	07.07.2021	ECM390578	1073947770		-85,40	DM para projeto	07.07.2021	4900473357
		    100,02	BRL	B-0265746	2278000	     2,800	FITA MET POSTE LISA   10X  1,00MM	      100,02	B-0265746-SUPR	03.04.2023	STC005659	1088337891		    100,02	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2278000	     2,800	FITA MET POSTE LISA   10X  1,00MM	      100,02
		     63,81	BRL	B-0265746	2300000	        28	ISOLADOR ROLDANA PORC  76,0MM  1350DAN.	       63,81	B-0265746-SUPR	29.06.2020	AMA418508	1068033169		     63,81	SM para projeto	29.06.2020	4900417984
		-63,84	BRL	B-0265746	2300000	-28	ISOLADOR ROLDANA PORC  76,0MM  1350DAN.	-63,84	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-63,84	DM para projeto	03.12.2020	4900830323
		      0,03	BRL	B-0265746	2300000		ISOLADOR ROLDANA PORC  76,0MM  1350DAN.	        0,03	B-0265746-SUPR	12.05.2022	CLB140490	1080173554		      0,03	Doctos Razão - Material	12.05.2022	100761951
		     13,03	BRL	B-0265746	2300000	         4	ISOLADOR ROLDANA PORC  76,0MM  1350DAN.	       13,03	B-0265746-SUPR	20.03.2023	STC128502	1087798899		     13,03	SM para projeto	20.03.2023	4900236354
		     13,02	BRL	B-0265746	2300000	         4	ISOLADOR ROLDANA PORC  76,0MM  1350DAN.	       13,02	B-0265746-SUPR	22.03.2023	STC173556	1087908812		     13,02	SM para projeto	22.03.2023	4900246327
		      9,78	BRL	B-0265746	2300000	         3	ISOLADOR ROLDANA PORC  76,0MM  1350DAN.	        9,78	B-0265746-SUPR	21.03.2023	STC173556	1087838093		      9,78	SM para projeto	21.03.2023	4900240896
		     64,29	BRL	B-0265746	2300000	        17	ISOLADOR ROLDANA PORC  76,0MM  1350DAN.	       64,29	B-0265746-SUPR	03.04.2023	STC005659	1088337891		     64,29	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2300000	        28	ISOLADOR ROLDANA PORC  76,0MM  1350DAN.	      100,12
		  4.321,22	BRL	B-0265746	2314001	        60	ISOLADOR PILAR PORCELANA 34KV 800DAN	    4.321,22	B-0265746-SUPR	29.06.2020	AMA418508	1068033169		  4.321,22	SM para projeto	29.06.2020	4900417984
		-4.321,20	BRL	B-0265746	2314001	-60	ISOLADOR PILAR PORCELANA 34KV 800DAN	-4.321,20	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-4.321,20	DM para projeto	03.12.2020	4900830323
		-0,02	BRL	B-0265746	2314001		ISOLADOR PILAR PORCELANA 34KV 800DAN	-0,02	B-0265746-SUPR	12.05.2022	CLB140490	1080173574		-0,02	Doctos Razão - Material	12.05.2022	100761971
		  1.630,42	BRL	B-0265746	2314001	        14	ISOLADOR PILAR PORCELANA 34KV 800DAN	    1.630,42	B-0265746-SUPR	20.03.2023	STC128502	1087798899		  1.630,42	SM para projeto	20.03.2023	4900236354
		    232,90	BRL	B-0265746	2314001	         2	ISOLADOR PILAR PORCELANA 34KV 800DAN	      232,90	B-0265746-SUPR	22.03.2023	STC173556	1087908812		    232,90	SM para projeto	22.03.2023	4900246327
		  5.119,70	BRL	B-0265746	2314001	        44	ISOLADOR PILAR PORCELANA 34KV 800DAN	    5.119,70	B-0265746-SUPR	03.04.2023	STC005659	1088337891		  5.119,70	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2314001	        60	ISOLADOR PILAR PORCELANA 34KV 800DAN	    6.983,02
		  2.278,26	BRL	B-0265746	2322006	        81	ISOLADOR SUSP POLIMERICO 50kN 35kV	    2.278,26	B-0265746-SUPR	29.06.2020	AMA418508	1068033169		  2.278,26	SM para projeto	29.06.2020	4900417984
		-2.278,53	BRL	B-0265746	2322006	-81	ISOLADOR SUSP POLIMERICO 50kN 35kV	-2.278,53	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-2.278,53	DM para projeto	03.12.2020	4900830323
		      0,27	BRL	B-0265746	2322006		ISOLADOR SUSP POLIMERICO 50kN 35kV	        0,27	B-0265746-SUPR	12.05.2022	CLB140490	1080173545		      0,27	Doctos Razão - Material	12.05.2022	100761942
		  4.419,85	BRL	B-0265746	2322006	        81	ISOLADOR SUSP POLIMERICO 50kN 35kV	    4.419,85	B-0265746-SUPR	03.04.2023	STC005659	1088337891		  4.419,85	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2322006	        81	ISOLADOR SUSP POLIMERICO 50kN 35kV	    4.419,85
		     21,27	BRL	B-0265746	2400002	         4	CONETOR IMPACT AL      4/0     /  2	       21,27	B-0265746-SUPR	13.07.2020	AMA418508	1068194239		     21,27	SM para projeto	13.07.2020	4900447367
		-21,28	BRL	B-0265746	2400002	-4	CONETOR IMPACT AL      4/0     /  2	-21,28	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-21,28	DM para projeto	03.12.2020	4900830323
		      0,01	BRL	B-0265746	2400002		CONETOR IMPACT AL      4/0     /  2	        0,01	B-0265746-SUPR	12.05.2022	CLB140490	1080173562		      0,01	Doctos Razão - Material	12.05.2022	100761959
	*			B-0265746	2400002	         0	CONETOR IMPACT AL      4/0     /  2	        0,00
		    118,33	BRL	B-0265746	2401000	        65	CONETOR CUNHA EST CINZA	      118,33	B-0265746-SUPR	13.07.2020	AMA418508	1068194239		    118,33	SM para projeto	13.07.2020	4900447367
		-118,30	BRL	B-0265746	2401000	-65	CONETOR CUNHA EST CINZA	-118,30	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-118,30	DM para projeto	03.12.2020	4900830323
		-0,03	BRL	B-0265746	2401000		CONETOR CUNHA EST CINZA	-0,03	B-0265746-SUPR	12.05.2022	CLB140490	1080173577		-0,03	Doctos Razão - Material	12.05.2022	100761974
		    256,04	BRL	B-0265746	2401000	        65	CONETOR CUNHA EST CINZA	      256,04	B-0265746-SUPR	03.04.2023	STC005659	1088337891		    256,04	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2401000	        65	CONETOR CUNHA EST CINZA	      256,04
		      8,97	BRL	B-0265746	2401002	        10	CONETOR CUNHA EST VERMELHA	        8,97	B-0265746-SUPR	29.06.2020	AMA418508	1068033169		      8,97	SM para projeto	29.06.2020	4900417984
		-9,00	BRL	B-0265746	2401002	-10	CONETOR CUNHA EST VERMELHA	-9,00	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-9,00	DM para projeto	03.12.2020	4900830323
		      0,03	BRL	B-0265746	2401002		CONETOR CUNHA EST VERMELHA	        0,03	B-0265746-SUPR	12.05.2022	CLB140490	1080173555		      0,03	Doctos Razão - Material	12.05.2022	100761952
		     11,95	BRL	B-0265746	2401002	        10	CONETOR CUNHA EST VERMELHA	       11,95	B-0265746-SUPR	03.04.2023	STC005659	1088337891		     11,95	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2401002	        10	CONETOR CUNHA EST VERMELHA	       11,95
		     28,75	BRL	B-0265746	2401006	        15	CONETOR CUNHA EST BR/VM	       28,75	B-0265746-SUPR	29.06.2020	AMA418508	1068033169		     28,75	SM para projeto	29.06.2020	4900417984
		-28,80	BRL	B-0265746	2401006	-15	CONETOR CUNHA EST BR/VM	-28,80	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-28,80	DM para projeto	03.12.2020	4900830323
		      0,05	BRL	B-0265746	2401006		CONETOR CUNHA EST BR/VM	        0,05	B-0265746-SUPR	12.05.2022	CLB140490	1080173552		      0,05	Doctos Razão - Material	12.05.2022	100761949
		     96,74	BRL	B-0265746	2401006	        29	CONETOR CUNHA EST BR/VM	       96,74	B-0265746-SUPR	03.04.2023	STC005659	1088337891		     96,74	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2401006	        29	CONETOR CUNHA EST BR/VM	       96,74
		-13,16	BRL	B-0265746	2402000	-4	CARTUCHO AZUL     FERRAMENTA AMPACT	-13,16	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-13,16	DM para projeto	03.12.2020	4900830323
		     13,17	BRL	B-0265746	2402000	         4	CARTUCHO AZUL     FERRAMENTA AMPACT	       13,17	B-0265746-SUPR	10.08.2020	AMA418508	1068666485		     13,17	SM para projeto	10.08.2020	4900526004
		-0,01	BRL	B-0265746	2402000		CARTUCHO AZUL     FERRAMENTA AMPACT	-0,01	B-0265746-SUPR	12.05.2022	CLB140490	1080173568		-0,01	Doctos Razão - Material	12.05.2022	100761965
	*			B-0265746	2402000	         0	CARTUCHO AZUL     FERRAMENTA AMPACT	        0,00
		     24,89	BRL	B-0265746	2402002	         8	CARTUCHO VERMELHO FERRAMENTA AMPACT	       24,89	B-0265746-SUPR	29.06.2020	AMA418508	1068033169		     24,89	SM para projeto	29.06.2020	4900417984
		-24,88	BRL	B-0265746	2402002	-8	CARTUCHO VERMELHO FERRAMENTA AMPACT	-24,88	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-24,88	DM para projeto	03.12.2020	4900830323
		-0,01	BRL	B-0265746	2402002		CARTUCHO VERMELHO FERRAMENTA AMPACT	-0,01	B-0265746-SUPR	12.05.2022	CLB140490	1080173570		-0,01	Doctos Razão - Material	12.05.2022	100761967
		     33,95	BRL	B-0265746	2402002	         8	CARTUCHO VERMELHO FERRAMENTA AMPACT	       33,95	B-0265746-SUPR	03.04.2023	STC005659	1088337891		     33,95	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2402002	         8	CARTUCHO VERMELHO FERRAMENTA AMPACT	       33,95
		     75,11	BRL	B-0265746	2403000	         8	CONETOR ESTRB AL   IMP     2AWG/ 35MM2	       75,11	B-0265746-SUPR	29.06.2020	AMA418508	1068033169		     75,11	SM para projeto	29.06.2020	4900417984
		-75,12	BRL	B-0265746	2403000	-8	CONETOR ESTRB AL   IMP     2AWG/ 35MM2	-75,12	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-75,12	DM para projeto	03.12.2020	4900830323
		      0,01	BRL	B-0265746	2403000		CONETOR ESTRB AL   IMP     2AWG/ 35MM2	        0,01	B-0265746-SUPR	12.05.2022	CLB140490	1080173559		      0,01	Doctos Razão - Material	12.05.2022	100761956
		    103,54	BRL	B-0265746	2403000	         8	CONETOR ESTRB AL   IMP     2AWG/ 35MM2	      103,54	B-0265746-SUPR	03.04.2023	STC005659	1088337891		    103,54	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2403000	         8	CONETOR ESTRB AL   IMP     2AWG/ 35MM2	      103,54
		     95,69	BRL	B-0265746	2412001	        22	CONETOR PERF  16,0- 95,0/  4,0- 35,0	       95,69	B-0265746-SUPR	29.06.2020	AMA418508	1068033169		     95,69	SM para projeto	29.06.2020	4900417984
		-95,70	BRL	B-0265746	2412001	-22	CONETOR PERF  16,0- 95,0/  4,0- 35,0	-95,70	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-95,70	DM para projeto	03.12.2020	4900830323
		      0,01	BRL	B-0265746	2412001		CONETOR PERF  16,0- 95,0/  4,0- 35,0	        0,01	B-0265746-SUPR	12.05.2022	CLB140490	1080173561		      0,01	Doctos Razão - Material	12.05.2022	100761958
		    151,42	BRL	B-0265746	2412001	        22	CONETOR PERF  16,0- 95,0/  4,0- 35,0	      151,42	B-0265746-SUPR	03.04.2023	STC005659	1088337891		    151,42	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2412001	        22	CONETOR PERF  16,0- 95,0/  4,0- 35,0	      151,42
		     78,12	BRL	B-0265746	2412003	        26	CONETOR PERF  10,0- 35,0/  1,5-  6,0	       78,12	B-0265746-SUPR	29.06.2020	AMA418508	1068033169		     78,12	SM para projeto	29.06.2020	4900417984
		-78,00	BRL	B-0265746	2412003	-26	CONETOR PERF  10,0- 35,0/  1,5-  6,0	-78,00	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-78,00	DM para projeto	03.12.2020	4900830323
		-0,12	BRL	B-0265746	2412003		CONETOR PERF  10,0- 35,0/  1,5-  6,0	-0,12	B-0265746-SUPR	12.05.2022	CLB140490	1080173586		-0,12	Doctos Razão - Material	12.05.2022	100761983
		    122,91	BRL	B-0265746	2412003	        26	CONETOR PERF  10,0- 35,0/  1,5-  6,0	      122,91	B-0265746-SUPR	03.04.2023	STC005659	1088337891		    122,91	SM para projeto	03.04.2023	4900280253
	*			B-0265746	2412003	        26	CONETOR PERF  10,0- 35,0/  1,5-  6,0	      122,91
		     80,13	BRL	B-0265746	2414034	         9	CONETOR ATR  ACO 90º 35,0/HA 16,0MM	       80,13	B-0265746-SUPR	29.06.2020	AMA418508	1068033169		     80,13	SM para projeto	29.06.2020	4900417984
		-80,10	BRL	B-0265746	2414034	-9	CONETOR ATR  ACO 90º 35,0/HA 16,0MM	-80,10	B-0265746-SUPR	03.12.2020	CLB154415	1070509221		-80,10	DM para projeto	03.12.2020	4900830323
